Base	N-Count	sample
1	0.0	ERR187494
2	0.07198767307265369	ERR187494
3	0.0	ERR187494
4	0.006578589971088745	ERR187494
5	0.0	ERR187494
6	0.001475865053179814	ERR187494
7	0.0	ERR187494
8	0.0053382352987354975	ERR187494
9	0.0	ERR187494
10	0.005463840835176333	ERR187494
11	0.001240354672353248	ERR187494
12	0.0	ERR187494
13	0.0	ERR187494
14	3.140138411020881E-5	ERR187494
15	0.0	ERR187494
16	0.0	ERR187494
17	0.003438451560067865	ERR187494
18	0.0	ERR187494
19	0.0017222586235402903	ERR187494
20	2.064607770977189E-5	ERR187494
21	0.0	ERR187494
22	2.2926828771234063E-4	ERR187494
23	0.0	ERR187494
24	0.0	ERR187494
25	0.0	ERR187494
26	5.003702740027621E-4	ERR187494
27	9.249803904157231E-4	ERR187494
28	0.0	ERR187494
