Length	Count	sample
17	413458.0	ERR187494
18	729992.0	ERR187494
19	382161.0	ERR187494
20	413189.0	ERR187494
21	504814.0	ERR187494
22	1200862.0	ERR187494
23	838691.0	ERR187494
24	754586.0	ERR187494
25	331985.0	ERR187494
26	258856.0	ERR187494
27	318263.0	ERR187494
28	222289.0	ERR187494
