Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	32.838079076849546	34.0	31.0	34.0	31.0	34.0	ERR187494
2	33.01565767215887	34.0	33.0	34.0	31.0	34.0	ERR187494
3	33.10091431410114	34.0	33.0	34.0	31.0	34.0	ERR187494
4	36.46927767082117	37.0	37.0	37.0	35.0	37.0	ERR187494
5	36.372923779734364	37.0	37.0	37.0	35.0	37.0	ERR187494
6	36.29011770180806	37.0	37.0	37.0	35.0	37.0	ERR187494
7	36.26966629435092	37.0	37.0	37.0	35.0	37.0	ERR187494
8	36.333992186707604	37.0	37.0	37.0	35.0	37.0	ERR187494
9	38.273746747209124	39.0	39.0	39.0	37.0	39.0	ERR187494
10	38.248976236374546	39.0	39.0	39.0	37.0	39.0	ERR187494
11	38.24671549372553	39.0	39.0	39.0	37.0	39.0	ERR187494
12	38.22147003695629	39.0	39.0	39.0	37.0	39.0	ERR187494
13	38.14575737469356	39.0	39.0	39.0	37.0	39.0	ERR187494
14	39.67914615240411	41.0	40.0	41.0	37.0	41.0	ERR187494
15	39.65736191319841	41.0	40.0	41.0	37.0	41.0	ERR187494
16	39.66207981415405	41.0	40.0	41.0	37.0	41.0	ERR187494
17	39.69916767491277	41.0	40.0	41.0	37.0	41.0	ERR187494
18	39.688830912566274	41.0	40.0	41.0	37.0	41.0	ERR187494
19	39.63489169672327	41.0	40.0	41.0	37.0	41.0	ERR187494
20	39.731475668081266	41.0	40.0	41.0	38.0	41.0	ERR187494
21	39.531992309404274	41.0	39.0	41.0	37.0	41.0	ERR187494
22	39.436086369949344	40.0	39.0	41.0	37.0	41.0	ERR187494
23	39.12481695030958	40.0	39.0	41.0	36.0	41.0	ERR187494
24	39.167878327383285	40.0	39.0	41.0	36.0	41.0	ERR187494
25	39.349843953427325	40.0	39.0	41.0	36.0	41.0	ERR187494
26	39.378062266076896	41.0	39.0	41.0	37.0	41.0	ERR187494
27	39.357573369444566	41.0	39.0	41.0	36.0	41.0	ERR187494
28	39.24780353503772	41.0	39.0	41.0	36.0	41.0	ERR187494
