Tile	Base	Mean	sample
1101	1	0.24403448272126838	ERR187494
1101	2	0.2678452228827197	ERR187494
1101	3	0.2041019379360023	ERR187494
1101	4	0.15454018662479996	ERR187494
1101	5	0.20424030545719773	ERR187494
1101	6	0.1750329371706485	ERR187494
1101	7	0.14113378903521578	ERR187494
1101	8	0.18416029697628034	ERR187494
1101	9	0.18239443457704851	ERR187494
1101	10	0.23049539021842236	ERR187494
1101	11	0.17790489742268534	ERR187494
1101	12	0.2052470081339166	ERR187494
1101	13	0.27327621631099674	ERR187494
1101	14	0.3512418529844652	ERR187494
1101	15	0.38555309270845584	ERR187494
1101	16	0.2719868167320172	ERR187494
1101	17	0.2517657219073115	ERR187494
1101	18	0.2937585543690062	ERR187494
1101	19	0.2999064365712627	ERR187494
1101	20	0.26762287454697287	ERR187494
1101	21	0.276121618548153	ERR187494
1101	22	0.19238099150728516	ERR187494
1101	23	0.28130132450326784	ERR187494
1101	24	0.2955178356893242	ERR187494
1101	25	0.29658195801158627	ERR187494
1101	26	0.30376852186638814	ERR187494
1101	27	0.24862073885883973	ERR187494
1101	28	0.23379154441610694	ERR187494
1102	1	0.1642241209623947	ERR187494
1102	2	0.19767379656471462	ERR187494
1102	3	0.16137164967748419	ERR187494
1102	4	0.12120722777078896	ERR187494
1102	5	0.0998320876841774	ERR187494
1102	6	0.04880804108961456	ERR187494
1102	7	0.12256921529147036	ERR187494
1102	8	0.12196001656769084	ERR187494
1102	9	0.12812145160580712	ERR187494
1102	10	0.13377540495609708	ERR187494
1102	11	0.17591725287127957	ERR187494
1102	12	0.18759728165094458	ERR187494
1102	13	0.13644895074641994	ERR187494
1102	14	0.12437592472224424	ERR187494
1102	15	0.09690811596075122	ERR187494
1102	16	0.16153318432267838	ERR187494
1102	17	0.15471674891495724	ERR187494
1102	18	0.1981422971939395	ERR187494
1102	19	0.03550883671457683	ERR187494
1102	20	0.1277836569786288	ERR187494
1102	21	0.13866278713059188	ERR187494
1102	22	0.08602442061703641	ERR187494
1102	23	0.01041449676963424	ERR187494
1102	24	0.008517135661747943	ERR187494
1102	25	-0.04089164854904226	ERR187494
1102	26	0.058346357016517914	ERR187494
1102	27	0.23209314103556977	ERR187494
1102	28	0.3996321959536573	ERR187494
1103	1	0.15965161747485013	ERR187494
1103	2	0.1644362887255113	ERR187494
1103	3	0.1532816464952944	ERR187494
1103	4	0.1156411814713394	ERR187494
1103	5	0.15918397765092607	ERR187494
1103	6	0.1250693388943276	ERR187494
1103	7	0.11165070002581956	ERR187494
1103	8	0.1158933713419259	ERR187494
1103	9	0.10621486374226663	ERR187494
1103	10	0.09170238462600366	ERR187494
1103	11	0.08087786862034818	ERR187494
1103	12	0.14221996554284289	ERR187494
1103	13	0.0931714751079511	ERR187494
1103	14	0.16703702530866593	ERR187494
1103	15	0.26857856533778346	ERR187494
1103	16	0.2241573241320367	ERR187494
1103	17	0.194777223397125	ERR187494
1103	18	0.17399051160947465	ERR187494
1103	19	0.12080137451329165	ERR187494
1103	20	0.09473506245087293	ERR187494
1103	21	0.1322665019500917	ERR187494
1103	22	0.206126883460918	ERR187494
1103	23	0.22335758681987272	ERR187494
1103	24	0.2596582566609129	ERR187494
1103	25	0.23908769718863	ERR187494
1103	26	0.17568035873149768	ERR187494
1103	27	0.24118451044898137	ERR187494
1103	28	0.17870469578087267	ERR187494
1104	1	0.006399092722489286	ERR187494
1104	2	0.07226003884086651	ERR187494
1104	3	0.008866411478194891	ERR187494
1104	4	0.0523425018224799	ERR187494
1104	5	0.032001992165106685	ERR187494
1104	6	-0.002756917029770989	ERR187494
1104	7	0.021222139207814905	ERR187494
