Tile	Base	Mean	sample
1101	1	0.2861797509408177	ERR187664
1101	2	0.22592704476729608	ERR187664
1101	3	0.2214198505134064	ERR187664
1101	4	0.13830031609197135	ERR187664
1101	5	0.09440046123925327	ERR187664
1101	6	0.15843462026202104	ERR187664
1101	7	0.1547353666161868	ERR187664
1101	8	0.1721004609210368	ERR187664
1101	9	0.16870388837718764	ERR187664
1101	10	0.16905896735082138	ERR187664
1101	11	0.17769796598781795	ERR187664
1101	12	0.2323423595722076	ERR187664
1101	13	0.1900066095015589	ERR187664
1101	14	0.32339766744540555	ERR187664
1101	15	0.39557137402610465	ERR187664
1101	16	0.25890229976245394	ERR187664
1101	17	0.3542173522089058	ERR187664
1101	18	0.32837950454944576	ERR187664
1101	19	0.21190566166448122	ERR187664
1101	20	0.20024864559881195	ERR187664
1101	21	0.18689991471997303	ERR187664
1101	22	0.1768220727993537	ERR187664
1101	23	0.3097120499093222	ERR187664
1101	24	0.1683584119028083	ERR187664
1101	25	0.2802716267047316	ERR187664
1101	26	0.3645971229481404	ERR187664
1101	27	0.24734944908462353	ERR187664
1101	28	0.29470637370215513	ERR187664
1102	1	0.09786209951182911	ERR187664
1102	2	0.09822924023390556	ERR187664
1102	3	0.15608968802666823	ERR187664
1102	4	0.12271261805766898	ERR187664
1102	5	0.08506637731904476	ERR187664
1102	6	0.07457951416503761	ERR187664
1102	7	0.11544137782137653	ERR187664
1102	8	0.06912300533394955	ERR187664
1102	9	0.061803467512405064	ERR187664
1102	10	0.040632021282021924	ERR187664
1102	11	0.1342297950837832	ERR187664
1102	12	0.16126944158914114	ERR187664
1102	13	0.15158115694745788	ERR187664
1102	14	0.2469565214983831	ERR187664
1102	15	0.24386551217238406	ERR187664
1102	16	0.2518843124841368	ERR187664
1102	17	0.13729621361456879	ERR187664
1102	18	0.10496302576338223	ERR187664
1102	19	0.018885697937768953	ERR187664
1102	20	0.05077401742548915	ERR187664
1102	21	0.056618372157913655	ERR187664
1102	22	0.031152817928386867	ERR187664
1102	23	-0.010783818529532141	ERR187664
1102	24	0.06890891105089025	ERR187664
1102	25	0.13903389018447143	ERR187664
1102	26	0.21190906772120854	ERR187664
1102	27	0.15280834617642824	ERR187664
1102	28	-0.024914237602892797	ERR187664
1103	1	0.2243981116429552	ERR187664
1103	2	0.1533864217702572	ERR187664
1103	3	0.1396215735699542	ERR187664
1103	4	0.12051102646953638	ERR187664
1103	5	0.18643791693835965	ERR187664
1103	6	0.11246109480765654	ERR187664
1103	7	0.07692466416712307	ERR187664
1103	8	0.02710532548979927	ERR187664
1103	9	0.10350940043862522	ERR187664
1103	10	0.10084581825883987	ERR187664
1103	11	0.1546969984079496	ERR187664
1103	12	0.10978702658571393	ERR187664
1103	13	0.09763549232232549	ERR187664
1103	14	0.18043214215956027	ERR187664
1103	15	0.3690517842007779	ERR187664
1103	16	0.295837244678701	ERR187664
1103	17	0.20300953177867598	ERR187664
1103	18	0.20072119223200247	ERR187664
1103	19	0.09862984202742808	ERR187664
1103	20	0.12836604838791743	ERR187664
1103	21	0.198830826677181	ERR187664
1103	22	0.22666741240389143	ERR187664
1103	23	0.2586323959245789	ERR187664
1103	24	0.2617784192460135	ERR187664
1103	25	0.22854665864264234	ERR187664
1103	26	0.22003668029834955	ERR187664
1103	27	0.3688653658230976	ERR187664
1103	28	0.5468834613021087	ERR187664
1104	1	0.07358009768968543	ERR187664
1104	2	-0.017153697059121953	ERR187664
1104	3	0.02564727542259959	ERR187664
1104	4	0.027819443899012697	ERR187664
1104	5	0.06002422414807285	ERR187664
1104	6	0.04151744057781315	ERR187664
1104	7	0.024258615211273593	ERR187664
1104	8	0.011289383776492912	ERR187664
1104	9	0.005893617599660672	ERR187664
1104	10	-0.013407066195632922	ERR187664
1104	11	0.05207177868266655	ERR187664
1104	12	0.03582951311929605	ERR187664
1104	13	-0.02988088045147208	ERR187664
1104	14	0.020159953575713985	ERR187664
1104	15	0.12737694909765906	ERR187664
1104	16	0.040185560092467654	ERR187664
1104	17	0.05050155911634846	ERR187664
1104	18	0.05141730248081444	ERR187664
1104	19	0.04817885709881864	ERR187664
1104	20	-0.012047774554979185	ERR187664
1104	21	0.006904666912610935	ERR187664
1104	22	-0.05376994373617805	ERR187664
1104	23	-0.027159144526848422	ERR187664
1104	24	0.009067734730223265	ERR187664
1104	25	0.0671821333306184	ERR187664
1104	26	-0.04258569317345717	ERR187664
1104	27	-0.124469495648448	ERR187664
1104	28	-0.10440042079090261	ERR187664
1105	1	-0.05313266529714866	ERR187664
1105	2	-0.06730633695836019	ERR187664
1105	3	-0.04108497234346942	ERR187664
1105	4	-0.0071898499188947085	ERR187664
1105	5	-0.006252820319701868	ERR187664
1105	6	-0.07020188506083258	ERR187664
1105	7	-0.023317707456762093	ERR187664
1105	8	-0.0396469108380515	ERR187664
1105	9	-0.12233749653447035	ERR187664
1105	10	-0.1333064255777714	ERR187664
1105	11	-0.10220124913853823	ERR187664
1105	12	-0.05329718239351422	ERR187664
1105	13	-0.09982480234235425	ERR187664
1105	14	-0.07859832770045472	ERR187664
1105	15	-0.048293560232664845	ERR187664
1105	16	-0.025968034862458467	ERR187664
1105	17	-0.11843044056667651	ERR187664
1105	18	-0.05330744593439363	ERR187664
1105	19	-0.1513186997392566	ERR187664
1105	20	-0.1387786068070156	ERR187664
1105	21	-0.13995893941268633	ERR187664
1105	22	-0.2825497254545297	ERR187664
1105	23	-0.19193806536075186	ERR187664
1105	24	-0.13984669371404124	ERR187664
1105	25	-0.18543464438165813	ERR187664
1105	26	-0.1743855516176538	ERR187664
1105	27	-0.1608853339941021	ERR187664
1105	28	-0.3273916108873536	ERR187664
1106	1	-0.2863473786729074	ERR187664
1106	2	-0.26043806873996544	ERR187664
1106	3	-0.2837479699402934	ERR187664
1106	4	-0.13618487572044558	ERR187664
1106	5	-0.11899736536646088	ERR187664
1106	6	-0.09400906767480421	ERR187664
1106	7	-0.15081246183693509	ERR187664
1106	8	-0.2360427837230148	ERR187664
1106	9	-0.31532661341756096	ERR187664
1106	10	-0.4042421855223566	ERR187664
1106	11	-0.3622087746478968	ERR187664
1106	12	-0.39454330880219146	ERR187664
1106	13	-0.24591651505978263	ERR187664
1106	14	-0.34244570632857574	ERR187664
1106	15	-0.20232312514617945	ERR187664
