Length	Count	sample
17	130928.0	ERR187664
18	199081.0	ERR187664
19	213343.0	ERR187664
20	291223.0	ERR187664
21	324620.0	ERR187664
22	656520.0	ERR187664
23	522254.0	ERR187664
24	449128.0	ERR187664
25	311209.0	ERR187664
26	324002.0	ERR187664
27	360882.0	ERR187664
28	293609.0	ERR187664
