Quality	Count	sample
2	3.0	ERR187664
3	0.0	ERR187664
4	1.0	ERR187664
5	6.0	ERR187664
6	2.0	ERR187664
7	2.0	ERR187664
8	2.0	ERR187664
9	3.0	ERR187664
10	1.0	ERR187664
11	2.0	ERR187664
12	5.0	ERR187664
13	10.0	ERR187664
14	8.0	ERR187664
15	14.0	ERR187664
16	10.0	ERR187664
17	19.0	ERR187664
18	47.0	ERR187664
19	73.0	ERR187664
20	92.0	ERR187664
21	97.0	ERR187664
22	151.0	ERR187664
23	259.0	ERR187664
24	499.0	ERR187664
25	1000.0	ERR187664
26	2169.0	ERR187664
27	4337.0	ERR187664
28	8335.0	ERR187664
29	15208.0	ERR187664
30	25316.0	ERR187664
31	38975.0	ERR187664
32	57194.0	ERR187664
33	82620.0	ERR187664
34	120079.0	ERR187664
35	180235.0	ERR187664
36	301360.0	ERR187664
37	752500.0	ERR187664
38	2297525.0	ERR187664
39	188640.0	ERR187664
