Base	N-Count	sample
1	0.012166408007851258	ERR187664
2	0.0	ERR187664
3	0.0010792781297287407	ERR187664
4	0.006058674955522703	ERR187664
5	0.0	ERR187664
6	6.37755258476074E-4	ERR187664
7	0.01562500383266381	ERR187664
8	0.05006378779037181	ERR187664
9	0.0	ERR187664
10	4.9058096805851845E-5	ERR187664
11	0.0	ERR187664
12	0.0023793176950838144	ERR187664
13	0.0	ERR187664
14	0.006549255923581221	ERR187664
15	5.886971616702221E-4	ERR187664
16	0.0	ERR187664
17	0.002109498162651629	ERR187664
18	0.002762381233446304	ERR187664
19	0.0	ERR187664
20	0.0	ERR187664
21	0.0	ERR187664
22	0.0	ERR187664
23	0.0	ERR187664
24	5.750993484124382E-5	ERR187664
25	6.978356240433836E-4	ERR187664
26	7.153858024533645E-4	ERR187664
27	0.0	ERR187664
28	3.405890146419217E-4	ERR187664
