Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	32.62135832549017	34.0	31.0	34.0	31.0	34.0	ERR187664
2	32.94679232407582	34.0	31.0	34.0	31.0	34.0	ERR187664
3	33.01135817586297	34.0	31.0	34.0	31.0	34.0	ERR187664
4	36.42098788780119	37.0	37.0	37.0	35.0	37.0	ERR187664
5	36.317033290088624	37.0	37.0	37.0	35.0	37.0	ERR187664
6	36.23343093441693	37.0	37.0	37.0	35.0	37.0	ERR187664
7	36.23214855576642	37.0	37.0	37.0	35.0	37.0	ERR187664
8	36.08311913341816	37.0	37.0	37.0	35.0	37.0	ERR187664
9	38.112223339929194	39.0	39.0	39.0	37.0	39.0	ERR187664
10	38.15175999601648	39.0	39.0	39.0	37.0	39.0	ERR187664
11	38.14408363031879	39.0	39.0	39.0	37.0	39.0	ERR187664
12	38.11577342910455	39.0	39.0	39.0	37.0	39.0	ERR187664
13	38.123908242716894	39.0	39.0	39.0	37.0	39.0	ERR187664
14	39.5827459239467	41.0	39.0	41.0	37.0	41.0	ERR187664
15	39.499921629690355	41.0	39.0	41.0	37.0	41.0	ERR187664
16	39.43286755123321	41.0	39.0	41.0	37.0	41.0	ERR187664
17	39.49091284608341	41.0	39.0	41.0	37.0	41.0	ERR187664
18	39.56777806471626	41.0	40.0	41.0	37.0	41.0	ERR187664
19	39.50061065605492	41.0	39.0	41.0	37.0	41.0	ERR187664
20	39.45007806824328	40.0	39.0	41.0	37.0	41.0	ERR187664
21	39.35208671578521	40.0	39.0	41.0	37.0	41.0	ERR187664
22	39.354652653341574	40.0	39.0	41.0	37.0	41.0	ERR187664
23	39.18618282204465	40.0	39.0	41.0	36.0	41.0	ERR187664
24	39.26112213384862	40.0	39.0	41.0	36.0	41.0	ERR187664
25	39.28950873922813	40.0	39.0	41.0	36.0	41.0	ERR187664
26	39.34188389697218	41.0	39.0	41.0	37.0	41.0	ERR187664
27	39.23267241260766	40.0	39.0	41.0	36.0	41.0	ERR187664
28	39.112343286479636	40.0	39.0	41.0	36.0	41.0	ERR187664
