Base	N-Count	sample
1	0.006443930245112641	ERR187665
2	0.23835966467891145	ERR187665
3	0.0	ERR187665
4	0.0069042109769064	ERR187665
5	0.03384707238440542	ERR187665
6	0.0	ERR187665
7	0.0	ERR187665
8	0.0	ERR187665
9	0.0	ERR187665
10	0.0	ERR187665
11	0.0	ERR187665
12	0.0	ERR187665
13	0.0	ERR187665
14	0.0	ERR187665
15	0.0	ERR187665
16	0.0	ERR187665
17	0.0	ERR187665
18	3.802903136254217E-4	ERR187665
19	0.0	ERR187665
20	0.0	ERR187665
21	0.0	ERR187665
22	0.0	ERR187665
23	0.0	ERR187665
24	0.0	ERR187665
25	0.0	ERR187665
26	0.0	ERR187665
27	0.0	ERR187665
28	0.0	ERR187665
29	0.0	ERR187665
30	0.0	ERR187665
31	0.0	ERR187665
32	0.0	ERR187665
33	1.464855909448467E-4	ERR187665
34	0.0	ERR187665
35	0.0	ERR187665
36	0.0	ERR187665
37	0.0	ERR187665
38	0.0	ERR187665
39	0.0	ERR187665
40	0.0	ERR187665
41	0.0	ERR187665
42	0.0	ERR187665
