GC_Content	Count	sample
0	16.0	ERR187665
1	15.5	ERR187665
2	13.5	ERR187665
3	11.5	ERR187665
4	11.5	ERR187665
5	14.5	ERR187665
6	18.0	ERR187665
7	20.0	ERR187665
8	29.5	ERR187665
9	41.5	ERR187665
10	48.5	ERR187665
11	60.0	ERR187665
12	87.0	ERR187665
13	176.0	ERR187665
14	314.0	ERR187665
15	522.5	ERR187665
16	889.5	ERR187665
17	1437.0	ERR187665
18	2102.5	ERR187665
19	4468.0	ERR187665
20	9029.0	ERR187665
21	12449.5	ERR187665
22	12143.5	ERR187665
23	10694.0	ERR187665
24	11221.5	ERR187665
25	14405.5	ERR187665
26	19919.5	ERR187665
27	24814.0	ERR187665
28	32814.0	ERR187665
29	41904.5	ERR187665
30	106944.0	ERR187665
31	198741.0	ERR187665
32	288990.5	ERR187665
33	362879.5	ERR187665
34	424709.5	ERR187665
35	543819.0	ERR187665
36	620349.5	ERR187665
37	694733.0	ERR187665
38	729232.0	ERR187665
39	864720.5	ERR187665
40	1088295.0	ERR187665
41	1185306.0	ERR187665
42	1238869.5	ERR187665
43	1025661.0	ERR187665
44	738560.0	ERR187665
45	646784.0	ERR187665
46	574485.5	ERR187665
47	637404.0	ERR187665
48	824574.0	ERR187665
49	905926.5	ERR187665
50	988219.0	ERR187665
51	1066542.0	ERR187665
52	1075123.0	ERR187665
53	1104880.5	ERR187665
54	896092.0	ERR187665
55	690693.0	ERR187665
56	697265.5	ERR187665
57	556524.0	ERR187665
58	399844.0	ERR187665
59	368920.5	ERR187665
60	341989.5	ERR187665
61	316769.5	ERR187665
62	325766.5	ERR187665
63	323895.0	ERR187665
64	284236.5	ERR187665
65	247024.0	ERR187665
66	205725.5	ERR187665
67	164746.0	ERR187665
68	154148.5	ERR187665
69	185631.0	ERR187665
70	217065.5	ERR187665
71	210004.0	ERR187665
72	204372.0	ERR187665
73	198037.0	ERR187665
74	185512.5	ERR187665
75	120839.0	ERR187665
76	58405.0	ERR187665
77	50933.5	ERR187665
78	50085.5	ERR187665
79	40685.0	ERR187665
80	28780.0	ERR187665
81	24533.0	ERR187665
82	21492.0	ERR187665
83	18917.0	ERR187665
84	17489.0	ERR187665
85	16317.5	ERR187665
86	14257.0	ERR187665
87	13247.0	ERR187665
88	17735.5	ERR187665
89	24673.0	ERR187665
90	28494.5	ERR187665
91	30195.0	ERR187665
92	31906.0	ERR187665
93	28681.5	ERR187665
94	22049.5	ERR187665
95	20131.0	ERR187665
96	20213.5	ERR187665
97	17574.0	ERR187665
98	10567.5	ERR187665
99	6180.5	ERR187665
100	6176.0	ERR187665
