Quality	Count	sample
2	9.0	ERR187490
3	1.0	ERR187490
4	1.0	ERR187490
5	4.0	ERR187490
6	2.0	ERR187490
7	1.0	ERR187490
8	0.0	ERR187490
9	1.0	ERR187490
10	1.0	ERR187490
11	1.0	ERR187490
12	2.0	ERR187490
13	5.0	ERR187490
14	4.0	ERR187490
15	6.0	ERR187490
16	7.0	ERR187490
17	14.0	ERR187490
18	27.0	ERR187490
19	61.0	ERR187490
20	80.0	ERR187490
21	102.0	ERR187490
22	150.0	ERR187490
23	315.0	ERR187490
24	563.0	ERR187490
25	1075.0	ERR187490
26	2147.0	ERR187490
27	3954.0	ERR187490
28	6827.0	ERR187490
29	11066.0	ERR187490
30	16679.0	ERR187490
31	23889.0	ERR187490
32	33306.0	ERR187490
33	45884.0	ERR187490
34	63927.0	ERR187490
35	94229.0	ERR187490
36	149433.0	ERR187490
37	408918.0	ERR187490
38	1623079.0	ERR187490
39	168221.0	ERR187490
