GC_Content	Count	sample
0	42.0	ERR187490
1	42.0	ERR187490
2	55.5	ERR187490
3	71.5	ERR187490
4	74.0	ERR187490
5	72.5	ERR187490
6	82.0	ERR187490
7	100.5	ERR187490
8	117.0	ERR187490
9	135.5	ERR187490
10	162.0	ERR187490
11	197.0	ERR187490
12	231.5	ERR187490
13	459.0	ERR187490
14	767.5	ERR187490
15	957.5	ERR187490
16	1148.5	ERR187490
17	1477.0	ERR187490
18	1922.0	ERR187490
19	2379.0	ERR187490
20	3521.0	ERR187490
21	5061.0	ERR187490
22	6088.0	ERR187490
23	7162.5	ERR187490
24	8928.5	ERR187490
25	12469.5	ERR187490
26	18227.5	ERR187490
27	22681.0	ERR187490
28	29325.5	ERR187490
29	37918.0	ERR187490
30	51856.0	ERR187490
31	75331.0	ERR187490
32	92007.0	ERR187490
33	103804.0	ERR187490
34	126192.5	ERR187490
35	158476.0	ERR187490
36	180547.0	ERR187490
37	208898.5	ERR187490
38	244860.0	ERR187490
39	296615.0	ERR187490
40	351440.5	ERR187490
41	372504.5	ERR187490
42	385579.5	ERR187490
43	380162.5	ERR187490
44	360582.0	ERR187490
45	363700.5	ERR187490
46	380604.0	ERR187490
47	393655.0	ERR187490
48	426565.5	ERR187490
49	453150.0	ERR187490
50	463053.0	ERR187490
51	472956.0	ERR187490
52	433001.5	ERR187490
53	399901.5	ERR187490
54	363214.0	ERR187490
55	323596.0	ERR187490
56	318282.0	ERR187490
57	285612.5	ERR187490
58	239919.0	ERR187490
59	216456.0	ERR187490
60	195201.5	ERR187490
61	164410.0	ERR187490
62	158285.0	ERR187490
63	158969.0	ERR187490
64	145827.0	ERR187490
65	139629.5	ERR187490
66	134713.5	ERR187490
67	123491.0	ERR187490
68	113783.5	ERR187490
69	153807.0	ERR187490
70	201339.0	ERR187490
71	201058.5	ERR187490
72	201084.5	ERR187490
73	195558.5	ERR187490
74	191350.0	ERR187490
75	136074.0	ERR187490
76	73815.0	ERR187490
77	68602.5	ERR187490
78	67132.5	ERR187490
79	52790.5	ERR187490
80	33800.5	ERR187490
81	26543.5	ERR187490
82	23474.5	ERR187490
83	20195.0	ERR187490
84	17369.5	ERR187490
85	14719.5	ERR187490
86	10767.0	ERR187490
87	8120.0	ERR187490
88	6746.0	ERR187490
89	6516.5	ERR187490
90	7064.5	ERR187490
91	6864.0	ERR187490
92	6212.5	ERR187490
93	5581.0	ERR187490
94	4667.0	ERR187490
95	4132.0	ERR187490
96	4113.0	ERR187490
97	3649.0	ERR187490
98	2149.0	ERR187490
99	1113.0	ERR187490
100	1113.0	ERR187490
