Length	Count	sample
17	168560.0	ERR187490
18	308470.0	ERR187490
19	172201.0	ERR187490
20	204233.0	ERR187490
21	228751.0	ERR187490
22	356628.0	ERR187490
23	277136.0	ERR187490
24	241881.0	ERR187490
25	173256.0	ERR187490
26	174189.0	ERR187490
27	189048.0	ERR187490
28	159638.0	ERR187490
