Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	32.85842152441361	34.0	31.0	34.0	31.0	34.0	ERR187490
2	33.09777048980196	34.0	33.0	34.0	31.0	34.0	ERR187490
3	33.13950084985217	34.0	33.0	34.0	31.0	34.0	ERR187490
4	36.466640994637885	37.0	37.0	37.0	35.0	37.0	ERR187490
5	36.419999917105976	37.0	37.0	37.0	35.0	37.0	ERR187490
6	36.39886834582333	37.0	37.0	37.0	35.0	37.0	ERR187490
7	36.3718396181449	37.0	37.0	37.0	35.0	37.0	ERR187490
8	36.40682052049159	37.0	37.0	37.0	35.0	37.0	ERR187490
9	38.300477657987535	39.0	39.0	39.0	37.0	39.0	ERR187490
10	38.23076001388098	39.0	39.0	39.0	37.0	39.0	ERR187490
11	38.25399031119548	39.0	39.0	39.0	37.0	39.0	ERR187490
12	38.21077953919211	39.0	39.0	39.0	37.0	39.0	ERR187490
13	38.23364660995459	39.0	39.0	39.0	37.0	39.0	ERR187490
14	39.83032949245118	41.0	40.0	41.0	38.0	41.0	ERR187490
15	39.79298045848686	41.0	40.0	41.0	38.0	41.0	ERR187490
16	39.77664543700412	41.0	40.0	41.0	38.0	41.0	ERR187490
17	39.745077507798634	41.0	40.0	41.0	37.0	41.0	ERR187490
18	39.76836210701484	41.0	40.0	41.0	38.0	41.0	ERR187490
19	39.768318311628	41.0	40.0	41.0	38.0	41.0	ERR187490
20	39.71588469442726	41.0	40.0	41.0	37.0	41.0	ERR187490
21	39.671490624689326	41.0	40.0	41.0	37.0	41.0	ERR187490
22	39.681170217639156	41.0	40.0	41.0	37.0	41.0	ERR187490
23	39.497168246172485	41.0	40.0	41.0	37.0	41.0	ERR187490
24	39.60853166057577	41.0	40.0	41.0	37.0	41.0	ERR187490
25	39.59733010022539	41.0	40.0	41.0	37.0	41.0	ERR187490
26	39.60684676069806	41.0	40.0	41.0	37.0	41.0	ERR187490
27	39.600121599375946	41.0	40.0	41.0	37.0	41.0	ERR187490
28	39.54907979303174	41.0	40.0	41.0	37.0	41.0	ERR187490
