Tile	Base	Mean	sample
1101	1	-0.24382187239419295	ERR187490
1101	2	-0.1606378225695977	ERR187490
1101	3	-0.25131422700137307	ERR187490
1101	4	-0.11042822714581035	ERR187490
1101	5	-0.2772750852509205	ERR187490
1101	6	-0.367635240379947	ERR187490
1101	7	-0.3181171512318315	ERR187490
1101	8	-0.22093027997446768	ERR187490
1101	9	-0.33976088772528357	ERR187490
1101	10	-0.1750137597619883	ERR187490
1101	11	-0.1802950018866909	ERR187490
1101	12	-0.09357120635497296	ERR187490
1101	13	-0.13928653664134316	ERR187490
1101	14	-0.31959835644755685	ERR187490
1101	15	-0.28800993595465485	ERR187490
1101	16	-0.305735008116514	ERR187490
1101	17	-0.23171578668500814	ERR187490
1101	18	-0.4629554409455494	ERR187490
1101	19	-0.365689704966897	ERR187490
1101	20	-0.37077679312896095	ERR187490
1101	21	-0.5336246206238542	ERR187490
1101	22	-0.6198047967453704	ERR187490
1101	23	-0.5172268739298786	ERR187490
1101	24	-0.5329750453289179	ERR187490
1101	25	-0.378453796222324	ERR187490
1101	26	-0.3253198120666383	ERR187490
1101	27	-0.36975208851789176	ERR187490
1101	28	-0.4785544757757094	ERR187490
1102	1	-0.27909360525021754	ERR187490
1102	2	-0.18988698908864876	ERR187490
1102	3	-0.18505868257945934	ERR187490
1102	4	-0.16427069990730558	ERR187490
1102	5	-0.19439222380484722	ERR187490
1102	6	-0.17329727057474287	ERR187490
1102	7	-0.2525568572684094	ERR187490
1102	8	-0.18067643291899316	ERR187490
1102	9	-0.24650179434456732	ERR187490
1102	10	-0.12866314166855375	ERR187490
1102	11	-0.18757261471617426	ERR187490
1102	12	-0.031028012080547285	ERR187490
1102	13	-0.18448636496585635	ERR187490
1102	14	-0.2892680221474464	ERR187490
1102	15	-0.2542138367248157	ERR187490
1102	16	-0.18731399954948103	ERR187490
1102	17	-0.23203728163652926	ERR187490
1102	18	-0.21160106896727626	ERR187490
1102	19	-0.2841746526908935	ERR187490
1102	20	-0.2554453174696434	ERR187490
1102	21	-0.26452072546481986	ERR187490
1102	22	-0.2603462293782002	ERR187490
1102	23	-0.30796437345769334	ERR187490
1102	24	-0.2667883366184398	ERR187490
1102	25	-0.31420437181995453	ERR187490
1102	26	-0.38820795172750877	ERR187490
1102	27	-0.4051123132820962	ERR187490
1102	28	-0.8635775172503628	ERR187490
1103	1	-0.3031154638760256	ERR187490
1103	2	-0.2727934280122426	ERR187490
1103	3	-0.243659553045525	ERR187490
1103	4	-0.1181796552802723	ERR187490
1103	5	-0.1987973034494246	ERR187490
1103	6	-0.1961308119546672	ERR187490
1103	7	-0.22577848149481383	ERR187490
1103	8	-0.20846396762408403	ERR187490
1103	9	-0.3432110735868079	ERR187490
1103	10	-0.24021545775423903	ERR187490
1103	11	-0.22458567330997425	ERR187490
1103	12	-0.16325537250590827	ERR187490
1103	13	-0.20939789507476547	ERR187490
1103	14	-0.30586956451183056	ERR187490
1103	15	-0.23910858321871586	ERR187490
1103	16	-0.26957557054277004	ERR187490
1103	17	-0.3149419719633144	ERR187490
1103	18	-0.3074876115922365	ERR187490
1103	19	-0.4911044512086633	ERR187490
1103	20	-0.4229190958943647	ERR187490
1103	21	-0.34663692937046875	ERR187490
1103	22	-0.32987265075185235	ERR187490
